database,scale_factor,query_type,min,mean,median,max,stddev,sum,count,wall_clock_time
influx,25,avg-daily-driving-duration,1062.40,1604.03,1590.91,1913.34,73.03,802000.000,500,100658.040
influx,25,avg-daily-driving-session,1512.70,2167.42,2148.74,2471.42,105.89,1083700.000,500,135838.477
influx,25,avg-load,26811.39,38701.97,38703.10,41232.38,1154.30,19351000.000,500,2432221.097
influx,25,avg-vs-projected-fuel-consumption,1258.30,4188.08,4159.49,8341.25,1086.21,2094000.000,500,262474.626
influx,25,breakdown-frequency,9148.42,14155.63,14187.01,15538.69,480.21,7077800.000,500,889596.715
influx,25,daily-activity,779.71,1082.26,1080.89,1229.63,53.66,541100.000,500,67889.152
influx,25,high-load,2.17,5.11,4.92,11.16,1.57,2600.000,500,326.017
influx,25,last-loc,2.02,5.83,5.25,26.88,3.12,2900.000,500,380.539
influx,25,long-daily-sessions,10.79,27.45,26.59,62.55,7.79,13700.000,500,1729.018
influx,25,long-driving-sessions,2.69,7.07,6.45,23.21,3.15,3500.000,500,448.333
influx,25,low-fuel,2.45,6.92,6.67,14.65,2.28,3500.000,500,438.826
influx,25,stationary-trucks,9.22,22.10,20.98,84.75,7.43,11000.000,500,1391.675
timescaledb,25,avg-daily-driving-duration,1103.55,3099.47,2206.21,13252.09,2732.12,1549700.000,500,194491.497
timescaledb,25,avg-daily-driving-session,1041.63,3186.32,1567.04,13672.96,3218.85,1593200.000,500,202120.204
timescaledb,25,avg-load,923.14,2003.63,1235.52,5976.06,1408.34,1001800.000,500,125954.822
timescaledb,25,avg-vs-projected-fuel-consumption,2398.98,7109.03,4513.53,30028.80,5490.92,3554500.000,500,447467.581
timescaledb,25,breakdown-frequency,1382.21,3034.81,1859.90,12758.53,2719.45,1517400.000,500,191198.788
timescaledb,25,daily-activity,1418.37,3594.50,1854.14,16119.30,3692.02,1797300.000,500,227531.212
timescaledb,25,high-load,0.59,1.52,1.14,18.33,1.93,800.000,500,100.192
timescaledb,25,last-loc,0.59,1.69,1.12,29.10,3.46,800.000,500,113.853
timescaledb,25,long-daily-sessions,202.24,377.90,337.36,1047.87,119.16,188900.000,500,23734.988
timescaledb,25,long-driving-sessions,45.25,79.07,71.01,448.61,45.01,39500.000,500,4973.110
timescaledb,25,low-fuel,0.60,1.65,1.17,22.50,2.69,800.000,500,109.390
timescaledb,25,stationary-trucks,2.18,8.17,3.05,56.75,12.33,4100.000,500,531.260
