database,scale_factor,query_type,min,mean,median,max,stddev,sum,count,wall_clock_time
influx,5,avg-daily-driving-duration,194.28,300.25,298.5,369.1,16.42,150100,500,18868.928
influx,5,avg-daily-driving-session,279.01,409.87,407.21,531.36,22.3,204900,500,25709.428
influx,5,avg-load,5080.32,7439.43,7453.69,7985.15,226.94,3719700,500,467526.96
influx,5,avg-vs-projected-fuel-consumption,213.65,758.58,760.74,1470.91,218.74,379300,500,47522.796
influx,5,breakdown-frequency,1792.32,2732.25,2744.45,3001.6,134,1366100,500,171771.09
influx,5,daily-activity,166.45,255.05,252.29,366.4,19.56,127500,500,16007.709
influx,5,high-load,0.55,1.45,1.21,6.58,0.79,700,500,94.914
influx,5,last-loc,0.5,1.61,1.21,12.99,1.52,800,500,106.382
influx,5,long-daily-sessions,3.57,7.27,6.94,17.62,2,3600,500,460.789
influx,5,long-driving-sessions,1.1,2.32,2.19,5.02,0.62,1200,500,148.376
influx,5,low-fuel,0.71,1.99,1.63,13.1,1.56,1000,500,130.977
influx,5,stationary-trucks,2.28,5.03,4.69,15.03,1.99,2500,500,320.362
timescaledb,5,avg-daily-driving-duration,218.22,537.41,374.42,1612.99,341.95,268700,500,33960.077
timescaledb,5,avg-daily-driving-session,230.06,550.41,384.74,1564.73,351.92,275200,500,34626.075
timescaledb,5,avg-load,163.3,374.33,287.45,1086.53,211.45,187200,500,23545.272
timescaledb,5,avg-vs-projected-fuel-consumption,274.93,690.01,515.18,2058.75,420.31,345000,500,43520.717
timescaledb,5,breakdown-frequency,206.04,540.2,338.62,1641.09,347.64,270100,500,33899.683
timescaledb,5,daily-activity,261.98,606.28,392.22,1815.49,415.87,303100,500,38194.809
timescaledb,5,high-load,0.45,1.17,1,12.55,1.31,600,500,78.233
timescaledb,5,last-loc,0.46,1.2,0.98,14.18,1.41,600,500,79.287
timescaledb,5,long-daily-sessions,41.48,75.01,74.03,111.52,10.94,37500,500,4717.836
timescaledb,5,long-driving-sessions,10.31,15.15,14.82,25.49,3.17,7600,500,957.475
timescaledb,5,low-fuel,0.43,1.2,1,15.38,1.53,600,500,80.051
timescaledb,5,stationary-trucks,0.76,1.38,1.15,14.07,1.16,700,500,90.078
influx,10,avg-daily-driving-duration,387.01,621.95,620.13,717.5,28.4,311000,500,39061.943
influx,10,avg-daily-driving-session,525.76,853.07,849.57,1020.67,45.46,426500,500,53582.301
influx,10,avg-load,10845.7,15796.27,15586.82,18301.95,784.24,7898100,500,992620.614
influx,10,avg-vs-projected-fuel-consumption,407.17,1609.4,1571.39,3796.48,521.83,804700,500,100830.209
influx,10,breakdown-frequency,3848.19,5100.67,5107.45,5506.56,152.15,2550300,500,320638.683
influx,10,daily-activity,317.95,475.32,473.87,590.17,28.7,237700,500,29846.146
influx,10,high-load,0.7,2.41,2.24,9.97,1.33,1200,500,155.541
influx,10,last-loc,0.72,2.62,2.35,11.14,1.71,1300,500,169.844
influx,10,long-daily-sessions,4.7,10.78,10.13,22.73,3.42,5400,500,681.083
influx,10,long-driving-sessions,1.31,3.42,2.96,12.34,1.61,1700,500,221.664
influx,10,low-fuel,0.8,3.36,3.25,9,1.96,1700,500,214.878
influx,10,stationary-trucks,4.15,8.84,8.67,20.66,2.17,4400,500,558.985
timescaledb,10,avg-daily-driving-duration,447.2,1111.56,774.08,3668.22,743.56,555800,500,70062.3
